ID,Restaurant,City,Area,Cuisine,Rating,Cost,Veg,Delivery,Address,Phone,Timings,Menu,Description,Popular_Dishes,Popularity,Image
128,Mint Stories,Mohali,Phase 5,Asian,4.3,1900,No,Yes,"SCO 16, Phase 5, Mohali, Punjab",+91 9894549782,9 AM - 11 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Phase 5, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,84,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
129,Blue Stories,Panchkula,Sector 11,Bakery,4.6,1050,Yes,Yes,"SCO 107, Sector 11, Panchkula, Punjab",+91 9856234162,12 PM - 12 AM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,96,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
130,Curry Stories,Chandigarh,Sector 22,Fast Food,4.2,650,No,Yes,"SCO 331, Sector 22, Chandigarh, Punjab",+91 9852154732,12 PM - 12 AM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Sector 22, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,79,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
131,Basil Stories,Mohali,Sector 70,North Indian,4.4,1250,Yes,Yes,"SCO 253, Sector 70, Mohali, Punjab",+91 9830135532,8 AM - 10:30 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 70, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,88,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
132,Roast Stories,Panchkula,MDC Sector 4,Cafe,4.3,1750,Yes,Yes,"SCO 274, MDC Sector 4, Panchkula, Punjab",+91 9850848183,9 AM - 11 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,81,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
133,Amber Stories,Chandigarh,Sector 43,Italian,4.9,1400,No,Yes,"SCO 135, Sector 43, Chandigarh, Punjab",+91 9872584574,9 AM - 11 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 43, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,69,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
134,Maple Stories,Mohali,Phase 3B2,Chinese,3.9,400,No,Yes,"SCO 267, Phase 3B2, Mohali, Punjab",+91 9897453997,8 AM - 10:30 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Phase 3B2, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,78,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
135,Pine Stories,Panchkula,Sector 11,South Indian,4.0,1350,Yes,Yes,"SCO 301, Sector 11, Panchkula, Punjab",+91 9879086129,9 AM - 11 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,75,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
136,Olive Terrace,Chandigarh,Sector 17,Punjabi,4.0,2300,Yes,No,"SCO 104, Sector 17, Chandigarh, Punjab",+91 9851192469,8 AM - 10:30 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Sector 17, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,70,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
137,Copper Terrace,Mohali,Phase 10,Continental,4.9,1600,Yes,Yes,"SCO 81, Phase 10, Mohali, Punjab",+91 9890212193,9 AM - 11 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Phase 10, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,92,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
138,Saffron Terrace,Panchkula,MDC Sector 4,Asian,4.5,2400,No,Yes,"SCO 294, MDC Sector 4, Panchkula, Punjab",+91 9861766032,11 AM - 11:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,80,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
139,Willow Terrace,Chandigarh,Sector 35,Bakery,4.7,850,Yes,Yes,"SCO 202, Sector 35, Chandigarh, Punjab",+91 9878367531,12 PM - 12 AM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 35, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,82,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
140,Urban Terrace,Mohali,Airport Road,Fast Food,4.8,1600,Yes,Yes,"SCO 107, Airport Road, Mohali, Punjab",+91 9868173511,8 AM - 10:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Airport Road, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,75,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
141,Cedar Terrace,Panchkula,Sector 11,North Indian,3.9,800,Yes,Yes,"SCO 262, Sector 11, Panchkula, Punjab",+91 9839633203,8 AM - 10:30 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,67,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
142,Mango Terrace,Chandigarh,Sector 9,Cafe,3.8,550,Yes,No,"SCO 163, Sector 9, Chandigarh, Punjab",+91 9850628902,8 AM - 10:30 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Sector 9, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,96,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
143,Mint Terrace,Mohali,Phase 7,Italian,4.4,1900,No,Yes,"SCO 189, Phase 7, Mohali, Punjab",+91 9826572600,8 AM - 10:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Phase 7, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,74,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
144,Blue Terrace,Panchkula,MDC Sector 4,Chinese,4.5,2350,Yes,No,"SCO 17, MDC Sector 4, Panchkula, Punjab",+91 9874349153,11 AM - 11:30 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,97,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
145,Curry Terrace,Chandigarh,Sector 26,South Indian,4.3,850,Yes,Yes,"SCO 288, Sector 26, Chandigarh, Punjab",+91 9884947869,9 AM - 11 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 26, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,93,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
146,Basil Terrace,Mohali,Sector 79,Punjabi,4.8,500,Yes,No,"SCO 27, Sector 79, Mohali, Punjab",+91 9890053829,8 AM - 10:30 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Sector 79, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,97,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
147,Roast Terrace,Panchkula,Sector 11,Continental,4.4,1800,No,Yes,"SCO 84, Sector 11, Panchkula, Punjab",+91 9865886358,9 AM - 11 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,67,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
148,Amber Terrace,Chandigarh,Sector 7,Asian,4.6,1550,No,Yes,"SCO 306, Sector 7, Chandigarh, Punjab",+91 9853810551,11 AM - 11:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Sector 7, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,85,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
149,Maple Terrace,Mohali,Phase 5,Bakery,4.1,2200,Yes,No,"SCO 33, Phase 5, Mohali, Punjab",+91 9842080503,12 PM - 12 AM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Phase 5, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,83,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
150,Pine Terrace,Panchkula,MDC Sector 4,Fast Food,4.6,2100,No,Yes,"SCO 264, MDC Sector 4, Panchkula, Punjab",+91 9855445961,11 AM - 11:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,71,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
151,Olive Collective,Chandigarh,Sector 22,North Indian,4.7,2200,No,Yes,"SCO 330, Sector 22, Chandigarh, Punjab",+91 9872298479,9 AM - 11 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 22, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,73,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
152,Copper Collective,Mohali,Sector 70,Cafe,4.5,2150,Yes,Yes,"SCO 237, Sector 70, Mohali, Punjab",+91 9858131346,11 AM - 11:30 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Sector 70, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,94,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
153,Saffron Collective,Panchkula,Sector 11,Italian,4.6,2000,No,Yes,"SCO 326, Sector 11, Panchkula, Punjab",+91 9819917519,8 AM - 10:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,95,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
154,Willow Collective,Chandigarh,Sector 43,Chinese,4.3,1950,No,Yes,"SCO 268, Sector 43, Chandigarh, Punjab",+91 9847270343,12 PM - 12 AM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Sector 43, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,65,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
155,Urban Collective,Mohali,Phase 3B2,South Indian,4.7,1500,Yes,Yes,"SCO 86, Phase 3B2, Mohali, Punjab",+91 9858705894,8 AM - 10:30 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Phase 3B2, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,75,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
156,Cedar Collective,Panchkula,MDC Sector 4,Punjabi,4.9,1800,Yes,Yes,"SCO 31, MDC Sector 4, Panchkula, Punjab",+91 9887884313,12 PM - 12 AM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,99,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
157,Mango Collective,Chandigarh,Sector 17,Continental,4.8,650,No,Yes,"SCO 311, Sector 17, Chandigarh, Punjab",+91 9893669851,9 AM - 11 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 17, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,83,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
158,Mint Collective,Mohali,Phase 10,Asian,4.6,450,No,Yes,"SCO 319, Phase 10, Mohali, Punjab",+91 9822435807,12 PM - 12 AM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Phase 10, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,89,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
159,Blue Collective,Panchkula,Sector 11,Bakery,4.2,450,Yes,Yes,"SCO 292, Sector 11, Panchkula, Punjab",+91 9810140671,12 PM - 12 AM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,95,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
160,Curry Collective,Chandigarh,Sector 35,Fast Food,4.4,1750,No,No,"SCO 160, Sector 35, Chandigarh, Punjab",+91 9884062395,11 AM - 11:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Sector 35, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,91,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
161,Basil Collective,Mohali,Airport Road,North Indian,4.1,550,No,Yes,"SCO 343, Airport Road, Mohali, Punjab",+91 9852241525,12 PM - 12 AM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Airport Road, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,64,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
162,Roast Collective,Panchkula,MDC Sector 4,Cafe,4.6,1300,Yes,Yes,"SCO 127, MDC Sector 4, Panchkula, Punjab",+91 9894322719,9 AM - 11 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,71,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
163,Amber Collective,Chandigarh,Sector 9,Italian,4.0,1200,No,Yes,"SCO 154, Sector 9, Chandigarh, Punjab",+91 9856260657,11 AM - 11:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 9, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,61,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
164,Maple Collective,Mohali,Phase 7,Chinese,3.9,1650,No,Yes,"SCO 345, Phase 7, Mohali, Punjab",+91 9869081308,9 AM - 11 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Phase 7, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,71,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
165,Pine Collective,Panchkula,Sector 11,South Indian,4.2,600,Yes,Yes,"SCO 237, Sector 11, Panchkula, Punjab",+91 9850102140,8 AM - 10:30 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,90,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
166,Olive Diner,Chandigarh,Sector 26,Punjabi,4.2,1200,Yes,Yes,"SCO 272, Sector 26, Chandigarh, Punjab",+91 9817327233,8 AM - 10:30 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Sector 26, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,91,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
167,Copper Diner,Mohali,Sector 79,Continental,3.8,1650,No,Yes,"SCO 311, Sector 79, Mohali, Punjab",+91 9837233340,12 PM - 12 AM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 79, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,89,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
168,Saffron Diner,Panchkula,MDC Sector 4,Asian,4.1,1100,No,Yes,"SCO 299, MDC Sector 4, Panchkula, Punjab",+91 9826004480,11 AM - 11:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,95,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
169,Willow Diner,Chandigarh,Sector 7,Bakery,4.2,2050,Yes,No,"SCO 73, Sector 7, Chandigarh, Punjab",+91 9844446253,9 AM - 11 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 7, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,90,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
170,Urban Diner,Mohali,Phase 5,Fast Food,4.9,2150,No,Yes,"SCO 189, Phase 5, Mohali, Punjab",+91 9861449015,11 AM - 11:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Phase 5, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,92,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
171,Cedar Diner,Panchkula,Sector 11,North Indian,4.7,1150,No,Yes,"SCO 269, Sector 11, Panchkula, Punjab",+91 9875517931,12 PM - 12 AM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,65,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
172,Mango Diner,Chandigarh,Sector 22,Cafe,4.9,950,Yes,Yes,"SCO 223, Sector 22, Chandigarh, Punjab",+91 9861296300,11 AM - 11:30 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Sector 22, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,83,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
173,Mint Diner,Mohali,Sector 70,Italian,4.5,1600,No,Yes,"SCO 76, Sector 70, Mohali, Punjab",+91 9898156212,8 AM - 10:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 70, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,93,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
174,Blue Diner,Panchkula,MDC Sector 4,Chinese,4.7,1300,Yes,Yes,"SCO 136, MDC Sector 4, Panchkula, Punjab",+91 9897811294,9 AM - 11 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,79,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
175,Curry Diner,Chandigarh,Sector 43,South Indian,4.5,2050,Yes,Yes,"SCO 124, Sector 43, Chandigarh, Punjab",+91 9811863981,11 AM - 11:30 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 43, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,87,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
176,Basil Diner,Mohali,Phase 3B2,Punjabi,4.8,2100,Yes,Yes,"SCO 224, Phase 3B2, Mohali, Punjab",+91 9837128492,8 AM - 10:30 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Phase 3B2, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,62,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
177,Roast Diner,Panchkula,Sector 11,Continental,4.1,1500,Yes,Yes,"SCO 172, Sector 11, Panchkula, Punjab",+91 9816052008,11 AM - 11:30 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,98,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
178,Amber Diner,Chandigarh,Sector 17,Asian,3.9,700,No,Yes,"SCO 338, Sector 17, Chandigarh, Punjab",+91 9837059987,11 AM - 11:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Sector 17, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,63,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
179,Maple Diner,Mohali,Phase 10,Bakery,4.6,600,Yes,Yes,"SCO 36, Phase 10, Mohali, Punjab",+91 9821450557,12 PM - 12 AM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Phase 10, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,87,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
180,Pine Diner,Panchkula,MDC Sector 4,Fast Food,4.4,450,Yes,Yes,"SCO 125, MDC Sector 4, Panchkula, Punjab",+91 9885073730,11 AM - 11:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,89,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
181,Olive Table Sector35,Chandigarh,Sector 35,North Indian,4.9,1100,No,Yes,"SCO 151, Sector 35, Chandigarh, Punjab",+91 9826064226,11 AM - 11:30 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 35, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,87,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
182,Copper Table AirportRoad,Mohali,Airport Road,Cafe,4.4,1800,Yes,Yes,"SCO 271, Airport Road, Mohali, Punjab",+91 9876838815,12 PM - 12 AM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Airport Road, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,96,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
183,Saffron Table Sector11,Panchkula,Sector 11,Italian,4.8,2300,Yes,Yes,"SCO 15, Sector 11, Panchkula, Punjab",+91 9869005484,12 PM - 12 AM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,65,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
184,Willow Table Sector9,Chandigarh,Sector 9,Chinese,3.9,2400,No,No,"SCO 237, Sector 9, Chandigarh, Punjab",+91 9855951436,12 PM - 12 AM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Sector 9, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,96,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
185,Urban Table Phase7,Mohali,Phase 7,South Indian,4.9,1900,Yes,Yes,"SCO 237, Phase 7, Mohali, Punjab",+91 9875989527,11 AM - 11:30 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Phase 7, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,92,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
186,Cedar Table MDCSector4,Panchkula,MDC Sector 4,Punjabi,4.8,1200,Yes,Yes,"SCO 115, MDC Sector 4, Panchkula, Punjab",+91 9865082540,8 AM - 10:30 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,79,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
187,Mango Table Sector26,Chandigarh,Sector 26,Continental,4.1,750,Yes,Yes,"SCO 20, Sector 26, Chandigarh, Punjab",+91 9878829806,9 AM - 11 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 26, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,92,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
188,Mint Table Sector79,Mohali,Sector 79,Asian,4.1,800,Yes,Yes,"SCO 178, Sector 79, Mohali, Punjab",+91 9827220491,12 PM - 12 AM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Sector 79, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,85,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
189,Blue Table Sector11,Panchkula,Sector 11,Bakery,3.9,450,Yes,Yes,"SCO 263, Sector 11, Panchkula, Punjab",+91 9822276770,9 AM - 11 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,66,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
190,Curry Table Sector7,Chandigarh,Sector 7,Fast Food,4.5,800,No,Yes,"SCO 176, Sector 7, Chandigarh, Punjab",+91 9845433981,11 AM - 11:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Sector 7, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,99,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
191,Basil Table Phase5,Mohali,Phase 5,North Indian,4.7,1500,No,Yes,"SCO 233, Phase 5, Mohali, Punjab",+91 9853549836,12 PM - 12 AM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Phase 5, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,63,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
